st_iger,Peter,Nace,Blaž,Gašper,Jernej,Ostali
21,645.5333333333328,-72.83333333334667,152.78571428571922,3.8372093023281195,-970.3036053130782,205.7045454545446
22,691.0666666666657,-64.0,148.85714285714857,11.83720930232812,-941.7229601517865,215.4999999999991
23,736.5999999999985,-54.387096774193196,144.92857142857792,19.83720930232812,-913.1423149904949,225.2954545454536
24,782.1333333333314,-44.77419354838639,141.00000000000728,27.83720930232812,-884.5616698292033,235.0909090909081
25,827.6666666666642,-35.16129032257959,137.07142857143663,35.83720930232812,-855.9810246679117,244.8863636363626
26,873.1999999999971,-25.548387096772785,133.14285714286598,43.83720930232812,-827.4003795066201,254.6818181818171
27,918.7333333333299,-15.935483870965982,129.21428571429533,51.83720930232812,-798.8197343453285,264.4772727272716
28,964.2666666666628,-6.322580645159178,125.28571428572468,59.83720930232812,-770.2390891840369,274.2727272727261
29,1009.7999999999956,3.2903225806476257,121.35714285715403,67.83720930232812,-741.6584440227452,284.0681818181806
30,1055.3333333333285,12.90322580645443,117.42857142858338,75.83720930232812,-713.0777988614536,293.8636363636351
31,1100.8666666666613,22.516129032261233,113.50000000001273,83.83720930232812,-684.497153700162,303.6590909090896
32,1146.3999999999942,32.12903225806804,109.57142857143117,91.83720930232812,-655.9165085388704,313.45454545454413
33,1191.933333333327,41.74193548387484,128.23809523809723,99.83720930232812,-627.3358633775788,323.24999999999864
34,1237.4666666666599,51.354838709681644,146.9047619047633,107.83720930232812,-598.7552182162872,333.04545454545314
35,1283.0,60.96774193548845,165.57142857142935,115.83720930232812,-570.1745730549956,342.84090909090764
36,1296.3214285714275,70.58064516129525,184.2380952380954,123.83720930232812,-541.593927893704,352.63636363636215
37,1309.642857142855,80.19354838710206,202.90476190476147,131.83720930232812,-513.0132827324123,362.43181818181665
38,1322.9642857142826,89.80645161290886,221.57142857142753,139.83720930232812,-484.4326375711207,372.22727272727116
39,1336.2857142857101,99.41935483871566,240.2380952380936,147.83720930232812,-455.8519924098291,382.02272727272566
